Name,ILGA_12,ILGA_12_err,ILGA_25,ILGA_25_err,ILGA_60,ILGA_60_err,ILGA_100,ILGA_100_err
1RXSJ044154.5-082639,,,,,,,,
1RXSJ045205.0+493248,,,,,,,,
2E1739.1-1210,,,,,,,,
2MASSJ07594181-3843560,,,,,,,,
2MASSJ17485512-3254521,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,
2MASXJ00253292+6821442,,,,,,,,
2MASXJ01064523+0638015,,,,,,,,
2MASXJ01073963-1139117,,,,,,,,
2MASXJ03305218+0538253,,,,,,,,
2MASXJ03342453-1513402,,,,,,,,
2MASXJ03502377-5018354,,,,,,,,
2MASXJ03534246+3714077,,,,,,,,
2MASXj03540948+0249307,,,,,,,,
2MASXJ04234080+0408017,,,,,,,,
2MASXJ04440903+2813003,,,,,,,,
2MASXJ05020903+0331499,,,,,,,,
2MASXJ05054575-2351139,,,,,,,,
2MASXJ05580206-3820043,,,,,,,,
2MASXJ06411806+3249313,,,,,,,,
2MASXJ06561197-4919499,,,,,,,,
2MASXJ07262635-3554214,,,,,,,,
2MASXJ07595347+2323241,,,,,,,,
2MASXJ08032736+0841523,,,,,,,,
2MASXJ09023729-4813339,,,,,,,,
2MASXJ09043699+5536025,,,,,,,,
2MASXJ09235371-3141305,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,
2MASXJ09594263-3112581,,,,,,,,
2MASXJ10402231-4625264,,,,,,,,
2MASXJ11454045-1827149,,,,,,,,
2MASXJ12005792+0648226,,,,,,,,
2MASXJ12313717-4758019,,,,,,,,
2MASXJ12335145-2103448,,,,,,,,
2MASXJ12475784-5829599,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,
2MASXJ13512953-1813468,,,,,,,,
2MASXJ14080674-3023537,,,,,,,,
2MASXJ14530794+2554327,,,,,,,,
2MASXJ15064412+0351444,,,,,,,,
2MASXJ15115979-2119015,,,,,,,,
2MASXJ15462424+6929102,,,,,,,,
2MASXJ16481523-3035037,,,,,,,,
2MASXJ18570768-7828212,,,,,,,,
2MASXJ19373299-0613046,,,,,,,,
2MASXJ19380437-5109497,,,,,,,,
2MASXJ20005575-1810274,,,,,,,,
2MASXJ20101740+4800214,,,,,,,,
2MASXJ20183871+4041003,,,,,,,,
2MASXJ21090996-0940147,,,,,,,,
2MASXJ21355399+4728217,,,,,,,,
2MASXJ23272195+1524375,,,,,,,,
2MFGC02280,,,,,,,,
3C111.0,,,,,,,,
3C120,,,,,,,,
4U1344-60,,,,,,,,
6dFJ0626586-370559,,,,,,,,
6dFJ2132022-334254,,,,,,,,
Ark120,,,,,,,,
ARK241,,,,,,,,
ARK347,,,,,,,,
ARP102B,,,,,,,,
ARP151,,,,,,,,
AXJ1737.4-2907,,,,,,,,
CenA,23.03,3.4545,30.74,4.611,215.57,32.3355,501.2,75.18
CGCG102-048,,,,,,,,
CGCG122-055,,,,,,,,
CGCG229-015,,,,,,,,
CGCG300-062,,,,,,,,
CGCG312-012,,,,,,,,
CGCG319-007,,,,,,,,
CGCG341-006,,,,,,,,
CGCG367-009,,,,,,,,
CGCG420-015,,,,,,,,
CGCG468-002NED01,,,,,,,,
CGCG493-002,,,,,,,,
CGCG535-012,,,,,,,,
ESO005-G004,,,,,,,,
ESO031-G008,,,,,,,,
ESO033-G002,,,,,,,,
ESO103-035,,,,,,,,
ESO121-IG028,,,,,,,,
ESO137-34,,,,,,,,
ESO139-G012,,,,,,,,
ESO141-G055,,,,,,,,
ESO157-G023,,,,,,,,
ESO195-IG021NED03,,,,,,,,
ESO197-G027,,,,,,,,
ESO198-024,,,,,,,,
ESO209-G012,,,,,,,,
ESO244-IG030,,,,,,,,
ESO263-G013,,,,,,,,
ESO297-018,,,,,,,,
ESO323-077,,,,,,,,
ESO362-18,,,,,,,,
ESO374-G044,,,,,,,,
ESO383-18,,,,,,,,
ESO399-20,,,,,,,,
ESO417-G006,,,,,,,,
ESO426-G002,,,,,,,,
ESO439-G009,,,,,,,,
ESO464-G016,,,,,,,,
ESO479-G031,,,,,,,,
ESO490-IG026,,,,,,,,
ESO499-G041,,,,,,,,
ESO506-G027,,,,,,,,
ESO509-G038,,,,,,,,
ESO509-IG066NED01,,,,,,,,
ESO511-G030,,,,,,,,
ESO533-G050,,,,,,,,
ESO548-G081,,,,,,,,
ESO549-G049,,,,,,,,
ESO553-G022,,,,,,,,
ESO553-G043,,,,,,,,
ESO565-G019,,,,,,,,
ESO578-G009,,,,,,,,
Fairall1146,,,,,,,,
Fairall272,,,,,,,,
Fairall49,,,,,,,,
Fairall51,,,,,,,,
Fairall9,,,,,,,,
HB890241+622,,,,,,,,
IC0486,,,,,,,,
IC1657,,,,,,,,
IC1816,,,,,,,,
IC2461,,,,,,,,
IC2637,,,,,,,,
IC2921,,,,,,,,
IC4329A,,,,,,,,
IC4518A,,,,,,,,
IC4709,,,,,,,,
IC5063,,,,,,,,
IGRJ11366-6002,,,,,,,,
IGRJ23308+7120,,,,,,,,
IISZ010,,,,,,,,
IIZw083,,,,,,,,
IRAS03219+4031,,,,,,,,
IRAS04124-0803,,,,,,,,
IRAS05078+1626,,,,,,,,
IRAS05218-1212,,,,,,,,
IRAS05589+2828,,,,,,,,
KAZ320,,,,,,,,
KUG1141+371,,,,,,,,
KUG1208+386,,,,,,,,
LCRSB034324.7-394349,,,,,,,,
LCRSB232242.2-384320,,,,,,,,
LEDA138501,,,,,,,,
LEDA170194,,,,,,,,
LEDA214543,,,,,,,,
LEDA38038,,,,,,,,
M106,2.25,0.3375,2.81,0.4215,21.6,3.24,78.39,11.7585
MCG-01-05-047,,,,,,,,
MCG-01-09-045,,,,,,,,
MCG-01-13-025,,,,,,,,
MCG-01-24-012,,,,,,,,
MCG-01-30-041,,,,,,,,
MCG-01-33-063,,,,,,,,
MCG-01-40-001,,,,,,,,
MCG-02-02-095,,,,,,,,
MCG-02-08-014,,,,,,,,
MCG-02-08-038,,,,,,,,
MCG-02-12-050,,,,,,,,
MCG-02-14-009,,,,,,,,
MCG-03-04-072,,,,,,,,
MCG-03-34-064,,,,,,,,
MCG-05-23-016,,,,,,,,
MCG-06-30-015,,,,,,,,
MCG-07-03-007,,,,,,,,
MCG+00-09-042,,,,,,,,
MCG+01-57-016,,,,,,,,
MCG+02-21-013,,,,,,,,
MCG+02-57-002,,,,,,,,
MCG+04-22-042,,,,,,,,
MCG+04-48-002,,,,,,,,
MCG+05-03-013,,,,,,,,
MCG+05-28-032,,,,,,,,
MCG+06-16-028,,,,,,,,
MCG+06-24-008,,,,,,,,
MCG+06-49-019,,,,,,,,
MCG+08-11-011,,,,,,,,
MCG+11-11-032,,,,,,,,
MCG+12-10-067,,,,,,,,
Mrk10,,,,,,,,
Mrk1018,,,,,,,,
Mrk1210,,,,,,,,
Mrk1310,,,,,,,,
Mrk1392,,,,,,,,
Mrk18,,,,,,,,
Mrk198,,,,,,,,
Mrk202,,,,,,,,
Mrk279,,,,,,,,
Mrk290,,,,,,,,
Mrk3,,,,,,,,
Mrk335,,,,,,,,
Mrk348,,,,,,,,
Mrk352,,,,,,,,
Mrk359,,,,,,,,
Mrk417,,,,,,,,
Mrk477,,,,,,,,
Mrk50,,,,,,,,
Mrk509,,,,,,,,
Mrk590,,,,,,,,
Mrk595,,,,,,,,
Mrk6,,,,,,,,
Mrk618,,,,,,,,
Mrk653,,,,,,,,
Mrk704,,,,,,,,
Mrk728,,,,,,,,
Mrk739E,,,,,,,,
Mrk766,,,,,,,,
Mrk79,,,,,,,,
Mrk817,,,,,,,,
Mrk841,,,,,,,,
Mrk885,,,,,,,,
Mrk926,,,,,,,,
Mrk975,,,,,,,,
NGC1052,,,,,,,,
NGC1106,,,,,,,,
NGC1125,,,,,,,,
NGC1194,,,,,,,,
NGC1365,4.42,0.663,13.07,1.9605,84.2,12.63,185.4,27.81
NGC2110,,,,,,,,
NGC235A,,,,,,,,
NGC2655,,,,,,,,
NGC2885,,,,,,,,
NGC2992,,,,,,,,
NGC3035,,,,,,,,
NGC3079,,,,,,,,
NGC3081,,,,,,,,
NGC3227,,,,,,,,
NGC3281,,,,,,,,
NGC3393,,,,,,,,
NGC3431,,,,,,,,
NGC3516,,,,,,,,
NGC3718,0.15,0.0225,0.11,0.0165,0.76,0.114,2.52,0.378
NGC3783,,,,,,,,
NGC3786,,,,,,,,
NGC4051,,,,,,,,
NGC4102,,,,,,,,
NGC4138,,,,,,,,
NGC4151,,,,,,,,
NGC4180,,,,,,,,
